name,Gender,Face_Diameter,Glass_material,Wire_material,Apparatus,Waterproof,Origin,agency,Price
   CA-EFV-540DC-1BVUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,4.241.700đ
  CA-EFV-540DC-1AVUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,4.241.700đ
  CA-EFR-571DB-1A1VUDF,Đồng hồ nam,47mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,4.286.700đ
  CA-EFR-571D-1AVUDF,Đồng hồ nam,47mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.887.100đ
   CA-EFR-569DB-1AVUDF,Đồng hồ nam,48.4mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,4.509.000đ
   CA-EFR-552D-1AVUDF,Đồng hồ nam,47mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFR-539L-1AVUDF,Đồng hồ nam,49.5mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,4.086.000đ
  CA-EFR-539D-1AVUDF,Đồng hồ nam,49.5mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,4.485.600đ
   CA-EFR-526D-1AVUDF,Đồng hồ nam,42mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
   CA-GA-110-1AHDR,Đồng hồ nam,50.6mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.353.400đ
  CA-ERA-120DB-1BVDF,Đồng hồ nam,46.9mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.887.100đ
  CA-EFV-C100D-1BVDF,Đồng hồ nam,46.6mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
   CA-EFV-590D-1AVUDF,,44mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-580D-7AVUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-580D-2AVUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-570P-1AVUDF,Đồng hồ nam,44mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-570D-7AVUDF,Đồng hồ nam,42mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
   CA-EFV-570D-2AVUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-570D-1AVUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,Dây da chính hãng,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-550L-1AVUDF,Đồng hồ nam,47mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
   CA-EFV-550D-7AVUDF,Đồng hồ nam,47mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-550D-2AVUDF,Đồng hồ nam,47mm,Kínhkhoáng,Thép không gỉ,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-540D-7AVUDF,Đồng hồ nam,42mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-540D-2AVUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-540D-1A9VUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-540D-1A2VUDF,Đồng hồ nam,42mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFR-S567D-2AVUDF,Đồng hồ nam,45.6mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,4.663.800đ
  CA-EFR-S567D-1AVUDF,Đồng hồ nam,45.4mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,4.663.800đ
  QQ-A190-202Y,Đồng hồ Nam,41 mm,Kínhcứngchịulực,Hợp kim thép,Quartz/Pin,3ATM,Nhật Bản,Q&Q,1.177.200đ
